"SubjectID" "Activity" "Variable" "Mean"
1 "WALKING" "tBodyAccelMeanX" 0.269721386631579
1 "WALKING" "tBodyAccelMeanY" -0.0165696295221053
1 "WALKING" "tBodyAccelMeanZ" -0.106738425771579
1 "WALKING" "tBodyAccelstdX" -0.776096502485263
1 "WALKING" "tBodyAccelstdY" -0.671230637126316
1 "WALKING" "tBodyAccelstdZ" -0.733379730842105
1 "WALKING" "tGravityAccelMeanX" 0.592648796494737
1 "WALKING" "tGravityAccelMeanY" 0.0223900814947368
1 "WALKING" "tGravityAccelMeanZ" 0.0982119403715789
1 "WALKING" "tGravityAccelstdX" -0.979263613578947
1 "WALKING" "tGravityAccelstdY" -0.969611259684211
1 "WALKING" "tGravityAccelstdZ" -0.958994743578947
1 "WALKING" "tBodyAccelJerkMeanX" 0.0958269511570526
1 "WALKING" "tBodyAccelJerkMeanY" 0.00639662826094737
1 "WALKING" "tBodyAccelJerkMeanZ" -0.00705967702870526
1 "WALKING" "tBodyAccelJerkstdX" -0.783833876736842
1 "WALKING" "tBodyAccelJerkstdY" -0.740415484777895
1 "WALKING" "tBodyAccelJerkstdZ" -0.842190027294737
1 "WALKING" "tBodyGyroMeanX" -0.036685558251579
1 "WALKING" "tBodyGyroMeanY" -0.0722383056168421
1 "WALKING" "tBodyGyroMeanZ" 0.06831461276
1 "WALKING" "tBodyGyrostdX" -0.825857718421053
1 "WALKING" "tBodyGyrostdY" -0.773563316863158
1 "WALKING" "tBodyGyrostdZ" -0.744504311052632
1 "WALKING" "tBodyGyroJerkMeanX" -0.0931925643983895
1 "WALKING" "tBodyGyroJerkMeanY" -0.0531448293450526
1 "WALKING" "tBodyGyroJerkMeanZ" -0.0493600193273684
1 "WALKING" "tBodyGyroJerkstdX" -0.828564938810526
1 "WALKING" "tBodyGyroJerkstdY" -0.844949903157895
1 "WALKING" "tBodyGyroJerkstdZ" -0.836514897273684
1 "WALKING" "tBodyAccelMagMean" -0.718788337761053
1 "WALKING" "tBodyAccelMagstd" -0.761439889494737
1 "WALKING" "tGravityAccelMagMean" -0.718788337761053
1 "WALKING" "tGravityAccelMagstd" -0.761439889494737
1 "WALKING" "tBodyAccelJerkMagMean" -0.779490817822105
1 "WALKING" "tBodyAccelJerkMagstd" -0.76596199918421
1 "WALKING" "tBodyGyroMagMean" -0.736286358555895
1 "WALKING" "tBodyGyroMagstd" -0.7675333894
1 "WALKING" "tBodyGyroJerkMagMean" -0.840973971684211
1 "WALKING" "tBodyGyroJerkMagstd" -0.8416316094
1 "WALKING" "fBodyAccelMeanX" -0.780163937052632
1 "WALKING" "fBodyAccelMeanY" -0.694980327934737
1 "WALKING" "fBodyAccelMeanZ" -0.771879617789474
1 "WALKING" "fBodyAccelstdX" -0.775624490303158
1 "WALKING" "fBodyAccelstdY" -0.680209554798947
1 "WALKING" "fBodyAccelstdZ" -0.734549809231579
1 "WALKING" "fBodyAccelJerkMeanX" -0.795810611673684
1 "WALKING" "fBodyAccelJerkMeanY" -0.754646819768421
1 "WALKING" "fBodyAccelJerkMeanZ" -0.827372673684211
1 "WALKING" "fBodyAccelJerkstdX" -0.791100356568421
1 "WALKING" "fBodyAccelJerkstdY" -0.743275646147369
1 "WALKING" "fBodyAccelJerkstdZ" -0.855842463263158
1 "WALKING" "fBodyGyroMeanX" -0.790869932663158
1 "WALKING" "fBodyGyroMeanY" -0.788481847178947
1 "WALKING" "fBodyGyroMeanZ" -0.754131391978947
1 "WALKING" "fBodyGyrostdX" -0.837910066515789
1 "WALKING" "fBodyGyrostdY" -0.768065845261684
1 "WALKING" "fBodyGyrostdZ" -0.765794154905263
1 "WALKING" "fBodyAccelMagMean" -0.753085611737895
1 "WALKING" "fBodyAccelMagstd" -0.803901586115789
1 "WALKING" "fBodyAccelJerkMagMean" -0.764751504968421
1 "WALKING" "fBodyAccelJerkMagstd" -0.769450234842105
1 "WALKING" "fBodyGyroMagMean" -0.790460172315789
1 "WALKING" "fBodyGyroMagstd" -0.793884995073684
1 "WALKING" "fBodyGyroJerkMagMean" -0.843306668105263
1 "WALKING" "fBodyGyroJerkMagstd" -0.850959439873684
1 "WALKING_UPSTAIRS" "tBodyAccelMeanX" 0.270144188113208
1 "WALKING_UPSTAIRS" "tBodyAccelMeanY" -0.0188333746633962
1 "WALKING_UPSTAIRS" "tBodyAccelMeanZ" -0.107269472803774
1 "WALKING_UPSTAIRS" "tBodyAccelstdX" -0.795078849924528
1 "WALKING_UPSTAIRS" "tBodyAccelstdY" -0.691122314735849
1 "WALKING_UPSTAIRS" "tBodyAccelstdZ" -0.777070249811321
1 "WALKING_UPSTAIRS" "tGravityAccelMeanX" 0.571913261132075
1 "WALKING_UPSTAIRS" "tGravityAccelMeanY" 0.0231972445471698
1 "WALKING_UPSTAIRS" "tGravityAccelMeanZ" 0.212063311113208
1 "WALKING_UPSTAIRS" "tGravityAccelstdX" -0.978274571132075
1 "WALKING_UPSTAIRS" "tGravityAccelstdY" -0.967735539433962
1 "WALKING_UPSTAIRS" "tGravityAccelstdZ" -0.955888923584906
1 "WALKING_UPSTAIRS" "tBodyAccelJerkMeanX" 0.073439111990566
1 "WALKING_UPSTAIRS" "tBodyAccelJerkMeanY" 0.0197320119088679
1 "WALKING_UPSTAIRS" "tBodyAccelJerkMeanZ" -0.0101174062045283
1 "WALKING_UPSTAIRS" "tBodyAccelJerkstdX" -0.785086667830189
1 "WALKING_UPSTAIRS" "tBodyAccelJerkstdY" -0.754877226377359
1 "WALKING_UPSTAIRS" "tBodyAccelJerkstdZ" -0.853737850566038
1 "WALKING_UPSTAIRS" "tBodyGyroMeanX" -0.0355410697698113
1 "WALKING_UPSTAIRS" "tBodyGyroMeanY" -0.0674653184075472
1 "WALKING_UPSTAIRS" "tBodyGyroMeanZ" 0.0554763331858491
1 "WALKING_UPSTAIRS" "tBodyGyrostdX" -0.830724232641509
